job_title,job_date,job_desc,job_tasks,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,exper,gender
مدير فرع,29/06/1444,['المشاركة في وضع وإعداد أهداف الفرع في ضوء توجهات واستراتيجيات الجهة التي يتبعها، والقيام بإدارة وتخطيط وتنظيم أعمال الفرع ووحداته الإدارية بما يتوافق مع الخطط التشغيلية والبرامج التنفيذية المعتمدة، ومتابعة كافة العمليات الإدارية المتعلقة بالفرع، وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير العمليات اليومية فيه.'],"['   المشاركة في وضع وإعداد الخطط والأهداف الخاصة بالفرع بما يتوافق مع توجهات وأولويات واختصاصات الجهة التي يتبعها، والتأكد من وجود الأطر والمقاييس الدقيقة لمعرفة مستوى تحقيق هذه الخطط والأهداف.', '  تطوير الخطط والبرامج والمشروعات التفصيلية للفرع ومتابعة عملية تنفيذها بما يضمن أفضل المخرجات ويحقق أعلى مستويات الكفاءة والإنتاجية.', '  الإشراف العام على سير العمليات والإجراءات في الفرع وضمان الالتزام بكافة الأنظمة واللوائح والسياسات المعتمدة.', '  الإشراف العام على أداء موظفي الفرع، ومتابعة برامج الموارد البشرية الهادفة إلى تقييم أدائهم وتطويرهم وتحفيزهم وتشجيعهم وإبقائهم.', '  بناء علاقات عمل مع شركاء العمل الخارجيين والقيام بتنسيق المشروعات والجهود المشتركة والتواصل معهم بشكل مستمر، وضمان وجود قنوات تواصل داخلية فعالة تحقق مستوىً عاليًا من التكامل بين إدارات الفرع.', '  ']",شركة بوركت للتجارة,1-2290505,خاص,صغيرة فئة ب,البيع بالتجزئة لمنتجات المخابز والحلويات السكرية,"['Skill data', 'الإدارة', 'محترف']",الرياض,AR RIYADH...,"['Salary', '6500.0']",دوام كامل,0 / 4,20202026407021,4 Years,F
أخصائي علاقات عامة,29/06/1444,['مراجعة وتطوير السياسة العامة للعلاقات وإعداد خطط التواصل مع القطاعات المستهدفة وتنفيذها، وتحسين الصورة الذهنية للجمهور بشأن الجهة المعنية، واستقبال الوفود والزائرين وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال العلاقات العامة وعرضها وحفظها.'],"['   دراسة ومراجعة سياسة العلاقات العامة في الجهة وتقييم أثرها واقتراح وتطويرها.', '  تأسيس وبناء قنوات اتصال مع العملاء والشركاء الداخليين والخارجيين بهدف تفعيل وتحسين وتعزيز صورة الجهة المعنية وسمعتها وزيادة فاعلية عملياتها.', '  متابعة التحضيرات والتجهيزات اللازمة لاستقبال الوفود الرسمية وكبار الزوار وتأمين احتياجاتهم خلال فترة الزيارة والتنسيق مع الإدارات المعنية المتعلقة بمواعيد النقل وتنظيم جولات ميدانية لتعريفهم بالجهة.', '  مواصلة بناء علاقات عمل بناءة وعلى مستوى عالِ من المهنية والحرفية مع الجهات الخارجية والجهات والمؤسسات والشركات التابعة لها وتقييم آثارها.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالعلاقات العامة وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",بصمة الريادة للاستشارات الهندسية,1-2230172,خاص,صغيرة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,nan,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026407017,2 Years,M
أخصائي عمليات موارد بشرية,29/06/1444,['تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحفظها.'],"['   تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام موظفي الفروع وإجازاتهم على اختلاف أنواعها وتعديل النماذج عند الحاجة بالإضافة إلى تطبيق نظام مراقبة الحضور والتأكد من التزامهم بأوقات الدوام الرسمي.', '  تطبيق سياسات وإجراءات الإجازات السنوية والمرضية والطارئة وغيرها من الإجازات المحددة في سياسة العطل والإجازات المعتمدة وتطبيق إجراءات الترقيات ,الإعارة وانتهاء الخدمة وتسجيل كافة وقوعات الموظفين وفقا للأنظمة والإجراءات المعتمدة.', '  التعامل مع شكأوى وملاحظات وطلبات واستفسارات الموظفين بطريقة مهنية ورفع المشاكل حال وجودها إلى مدير الإدارة بشكل فعال', '  تحديث المعلومات المتعلقة بالموظفين وتزويدها لفريق خدمات الموظفين من خلال تسجيل وتوثيق جميع المعلومات المتعلقة بموظفي الجهة كالترقيات والدورات التدريبية والأمور المتعلقة بالرواتب والامتيازات', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بعمليات الموارد البشرية وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",سعود ذيب علي القحطاني للاستشارات الإدارية,1-2439098,خاص,صغيرة فئة أ,أنشطة الاستشارات الإدارية,nan,الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026407009,2 Years,M
أخصائي علوم أحياء دقيقة,29/06/1444,['دراسة أنواع وأصناف الأحياء الدقيقة وتركيبها، وإجراء الدراسات العلمية والعملية المتعلقة بالأحياء الدقيقة، ودراسة وتطوير استخداماتها في المجالات المختلفة، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال والاختبارات.'],"['   أخذ العينات النباتية والحيوانية والبشرية وتجهيزها للدراسة، ودراسة الأحياء الدقيقة باستخدام المجاهر والشرائح والأصباغ، ودراسة تركيب هذه الكائنات وأجزاء خلاياها وطرق انقسامها وتكاثرها.', '  إجراء الأبحاث في نشأة وتطوير الأحياء الدقيقة ودراسة أنواعها الضارة أو المفيدة، ودراسة سبل إكثارها مخبريا، ودراسة الأنواع المسببة للأمراض منها والأمراض التي تسببها', '  دراسة وتطوير إمكانية الاستفادة من الأحياء الدقيقة ومنتجاتها في مجالات الطب والزراعة مثل المضادات الحيوية أو استخدامها لمكافحة الآفات الزراعية', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة بالدراسات المعدة على الأحياء الدقيقة والنتائج المتوصل إليها من الحالات التي تم تحليلها ورفع النتائج إلى المسؤولين، وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",دار القياس للتجاره فرع شركة ديارات التجاريه,1-1771214,خاص,صغيرة فئة ب,إصلاح وصيانة معدات القياس والاختبار والمراقبة والتحكم,"['Skill data', 'حاسب الي', 'محترف', 'Language data', 'انجليزي', 'محترف', 'Professional certificate \\ License data', 'لايزو  17025 ', 'ضروري', 'دورات متخصصة بأجهزة الفحص الجرثومي للاغذية ', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '8000.0']",دوام كامل,0 / 1,20202026406982,4 Years,M
كيميائي,29/06/1444,['إجراء الأبحاث والتحاليل الكيميائية للعناصر والمركبات لأغراض تطوير المنتجات والعمليات والتطبيقات، وإجراء التحاليل الكمية والنوعية وتحسين الطرق التحليلية، وإجراء التجارب المخبرية لعينات من العناصر والمركبات، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال والاختبارات.'],"['   إجراء الأبحاث والتجارب والتحاليل الكمية والنوعية للعناصر والمركبات العضوية واللاعضوية لتحديد خواصها الكيميائية وبنيتها وتفاعلاتها ودراسة وتحليل النتائج.', '  تصميم وسائل وأساليب وتجهيزات وتطوير المعادلات والعمليات والطرق لحل المشكلات الفنية العملية.', '  إجراء الأبحاث على المنتجات الكيميائية المصنعة لتطوير وتحسين الإجراءات والعمليات وجودة المنتجات.', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة المتعلقة بنتائج الدراسات الفيزيائية وسبل تطويرها، وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",دار القياس للتجاره فرع شركة ديارات التجاريه,1-1771214,خاص,صغيرة فئة ب,إصلاح وصيانة معدات القياس والاختبار والمراقبة والتحكم,"['Language data', 'انجليزي', 'محترف', 'حاسب الي', 'محترف', 'Professional certificate \\ License data', 'دورات متخصصة بأجهزةالفحص الكيميائي للمياه والاغذية', 'ضروري', 'دورات تدريبية على اجهزة التحليل الطيفيVIS/UV  االم', 'ضروري', 'ICPMS, ICP', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '6500.0']",دوام كامل,0 / 4,20202026406972,4 Years,M
سكرتير,29/06/1444,['دعم المدير أو الإدارة من خلال كتابة الوثائق وإدارة المكالمات الهاتفية والزوار، والمساعدة في تنسيق المشاريع الأساسية وإدارة جدول الأعمال.'],"['   تدوين الملاحظات، التي يتم إملاؤها، بطريقة الاختزال (الكتابة السريعة)، ونسخ المراسلات والتقارير ومحاضر الاجتماعات، ومراجعتها وتنسيقها وفقاً لمعايير المكتب.', '  تلقي المكالمات الهاتفية من الموظفين والعملاء الخارجيين وفرزها وتوجيهها، واستلام الرسائل الهاتفية والإجابة على أسئلة المتصلين وتحويل المكالمات إلى الشخص المناسب.', '  التعامل مع البريد الوارد والصادر، وفحص المراسلات البريدية وتسجيلها وتوزيعها.', '  فحص طلبات الاجتماعات والمواعيد، وتنسيق جداول المشاركين في الاجتماعات، وتحديد أوقات الاجتماعات، وتأمين قاعة الاجتماعات وتحضير جدول الأعمال.', '  إنشاء أنظمة لحفظ الملفات والسجلات وصيانتها، وحفظ جميع المستندات بشكل منتظم.', '  ']",شركة الأحداث الفاخرة العقارية شركة شخص واحد,1-2445116,خاص,صغيرة فئة أ,إدارة وتاجير العقارات المملوكة أو المؤجرة (سكنية ),"['Skill data', 'الحاسب الالي', 'محترف', 'مواقع التواصل الاجتماعي', 'محترف', 'التصميم والفوتوشوب', 'متوسط', 'Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026406953,2 Years,F
مدير إدارة مشاريع,29/06/1444,['الإشراف العام على أنشطة إدارة المشاريع والبرامج في الجهة، ومتابعة عمليات تطوير خطط تنفيذ المشاريع والبرامج ومراقبة سير العمل فيها ووضع وتتبع موازناتها وإجراءاتها التعاقدية وتحديد تكاليفها ومصادر تمويلها ومتابعة عمليات التنفيذ بما يضمن إنجازها وتحقيقها للأهداف التي وضعت لها بناء على الجدول الزمني المعد لها وضمن الميزانية المخصصة لها.'],['إدارة مشاريع التشغيل والصيانة للمختبرات الغذائية، عليه القيام باإلشراف على أعمال المختبرات  في إعداد البحوث والدراسات والتقارير وطرق استعمال الالات  واجهزة  اجراء  التحاليل والفحوصات والتركيبات الكيميائية أو الفيزيائية للمواد والعناصر والعينات والقيام بالاعمال الاخرى ذات العلاقة بهذا المجال ويفضل أن يكون سبق له االاشتراك  في اللجان الفنية الخاصة بمجال الغذاء في أحد ً الهيئات والجمعيات العلمية وأن يكون حاصال على دورات تدريبية والاشتراك  في الندوات والمؤتمرات  العلمية الخاصة بمجال فحص الاغذية  داخل المملكة وخارجه مشارك ببحوث علمية منشورت محلية ودوليا في مجال المختبرات.'],دار القياس للتجاره فرع شركة ديارات التجاريه,1-1771214,خاص,صغيرة فئة ب,إصلاح وصيانة معدات القياس والاختبار والمراقبة والتحكم,"['Skill data', 'برنامج ادارة المختبرات', 'محترف', 'Language data', 'انجليزي', 'محترف', 'Professional certificate \\ License data', 'الايزو 17025 ', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '8500.0']",دوام كامل,0 / 1,20202026406944,7 Years,M
محامي,29/06/1444,['دراسة القضية وتجهيز ملفها وجمع البينات الخطية والشخصية والأدلة، وتسجيل الدعوى لدى المحكمة المختصة ومتابعتها والمرافعة فيها لدى مختلف درجات المحاكم لحين إصدار الحكم، وتمثيل الموكلين لدى الغير، وتنظيم العقود والاتفاقيات والمستندات القانونية وتوثيقها وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال المحاماة وعرضها وحفظها.'],"['   استقبال القضية وتحديد نوعها وتحليل عناصرها وماهيتها وبيان الراي القانوني من القضية المعروضة وتحديد البيانات الشخصية والخطية والأدلة ذات الصلة وتحضير البينات الخطية (الوثائق والمستندات) والشخصية (شهود الدفاع والإثبات) وأدلة الإثبات وكتابة لائحة الدعوى وتحضير حافظات المستندات فيها.', '  مراجعة المحكمة المختصة لتقديم لائحة الدعوى وحافظة مستنداتها ومتابعة تبليغ المدعى عليه وحضور الجلسات المحددة من قبل المحكمة ومناقشة الشهود وتقديم المرافعة ومتابعتها حتى صدور الحكم', '  تمثيل الموكلين مدعوون أو مدعى عليهم لدى مختلف درجات المحاكم ولدى جميع اللجان والمجالس الرسمية والمحكمين وتقديم المدافعة والمرافعة والإنذارات العدلية والعادية والاعتراضات والمطالبات للموكلين.', '  المفاوضة بشأن العقود والاتفاقيات مع جميع الجهات الرسمية وغير الرسمية وصياغة العقود والاتفاقيات وتوثيقها لدى الجهات ذات العلاقة.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالمحاماة وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الخبراء المتحدون للمحاماة والاستشارات القانونية,1-2334348,خاص,nan,nan,"['Professional certificate \\ License data', 'رخصة محاماة', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 2,20202026406912,2 Years,both
مساعد إداري,29/06/1444,['متابعة تنفيذ القرارات الادارية الصادرة عن الرئيس المباشر وتنظيم أعمال البريد والمواعيد اليومية، وإنجاز الأعمال الادارية المتعلقة بسير العمل وتنسيق وتنظيم اجتماعات الرئيس المباشر'],"['   تنفيذ التعليمات الادارية الصادرة عن الرئيس المباشر ومتابعة تنفيذ القرارات الادارية الصادرة عنه', '  فتح وفرز البريد الورقي وتوزيعه على المعنيين وفتح البريد الالكتروني والرد عليه بحسب توجيهات الرئيس المباشر', '  انجاز أعمال الطباعة والرد على الاستفسارات والمكالمات الهاتفية وتنظيم الملفات الخاصة', '  حفظ المعاملات والعناية بالملفات بأسلوب سلس يسهل عملية الرجوع إليها', '  تنسيق وتنظيم اجتماعات الرئيس المباشر واجتماعات موظفي الوحدة التنظيمية والمشاركة في هذه الاجتماعات و تدوين وتوثيق محاضرها، وطباعة وتوزيع محاضر الاجتماعات الخاصة بالرئيس المباشر للأطراف الأخرى المشاركة في الاجتماع.', '  ']",شركة أكواد للمصاعد,4-1979782,خاص,متوسطة فئة أ,تركيب وصيانة المصاعد,nan,المنطقة الشرقية,AD DAMMAM...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026406847,2 Years,F
أخصائي قانوني,29/06/1444,['مساعدة العملاء والمنشآت في مختلف المسائل القانونية، وصياغة الوثائق القانونية، والتوسط في النزاعات، ومراقبة تنفيذ الأحكام القانونية.'],"['   تأهيل الطلبات وتقييم الخيارات القانونية، والبحث في البيانات المتعلقة بالقضايا، والقضايا السابقة، والتشريعات.', '  مساعدة العميل أو المنشأة في صياغة الآراء القانونية والمذكرات التحريرية وغيرها من المذكرات القانونية.', '  إعداد الوثائق القانونية مثل الوصايا والسندات والعقود.', '  إجراء الأبحاث القانونية، ومراجعة الوثائق القانونية، ومعالجة المسائل المهمة.', '  مراجعة عقود المنشآت التجارية وتحديد المخاطر، ومراقبة تنفيذ البنود القانونية.', '  ']",شركة الخبراء المتحدون للمحاماة والاستشارات القانونية,1-2334348,خاص,nan,nan,"['Skill data', 'إدارة وتنظيم المستندات والوثائق القانونية ', 'محترف', 'إدارة العلاقات والعقود والشؤون القانونية ', 'محترف', 'بحث في القضايا', 'محترف', 'Language data', 'انجليزي', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026406840,0 Years,both
بائع,29/06/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",محل خالد سعود عبدالعزيز الرخيص للتجارة,17-1956188,خاص,صغيرة فئة أ,البيع بالتجزئة لأصناف أخرى خاصة بتجارة التجزئة في الخردوات المعدنية والدهانات ومواد الإنشاءات ، يشمل ( أبواب الكراجات وغيرها ),nan,حائل,HAIL...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026406831,0 Years,F
مبلط,29/06/1444,['تقدير كميات البلاط ومواد العمل، وإعداد السطوح والأرضيات والأدراج والجدران للتبليط،، وتبليط الأرضيات والساحات والأدراج والجدران بالبلاط الاسمنتي والبلاط الخزفي (السيراميك)، وتركيب البلاط الخزفي (السيراميك) وتثبيته باستخدام المواد اللاصقة، وقياس (كيل) الأعمال المنجزة وحساب التكلفة.'],"['   تحديد أنواع البلاط اللازم ومواصفاته ومقاساته وتقدير كمياته وتحديد مواد العمل وتقدير كمياتها وفقاً لخطط العمل المقدرة.', '  تهيئة الأرضيات و/أو السطوح لإجراء عملية التبليط بحسب المواصفات.', '  ترويب البلاط بالروبة المحددة في المواصفات.', '  تنظيف البلاط بعد الترويب وتلميعه.', '  صيانة أعمال البلاط وقياس (كيل) الأعمال المنجزة وحساب التكلفة.', '  ']",مؤسسة فاد الخليجيه للمقاولات,1-115019,خاص,كبيرة,أنشطة خدمات صيانة المباني,nan,الرياض,MALHAM...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026406825,0 Years,M
بناء,29/06/1444,['المشاركة الفعالة في عمليات البناء وفقا للمخططات والرسومات الفنية الموضوعة.'],"['   المشاركة في تحضير الموقع لتشييد المباني، وإزالة العقبات وتسوية الأرض.', '  المساعدة بمهام الحرفيين بما في ذلك رص الطوب وتغطية الأرضية والدهان والبياض.', '  تنفيذ التعليمات المتعلقة بالتشييد والمخططات الأولية والرسومات والمخططات وتفسيرها.', '  تنظيم الأنشطة التي يقوم بها العمال والمقاولون من الباطن وغيرهم من العمال والإشراف عليها.', '  اتباع سياسات وإجراءات الصحة والسلامة والبيئة.', '  ']",مؤسسة فاد الخليجيه للمقاولات,1-115019,خاص,كبيرة,أنشطة خدمات صيانة المباني,nan,الرياض,MALHAM...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026406823,0 Years,M
مليّس,29/06/1444,['القيام بأعمال التلييس للمباني والأسوار بالمواد المختلفة من إسمنت أو جبس أو جرانيت، ومايتبع ذلك من تحضير المواد اللازمة.'],"['   معرفة أدوات ومعدات اللياسة وطرق استعمالها.', '  معرفة أصول اللياسة وأنواعها.', '  القدرة على تحديد المناسيب وعلى وزن مسطح الأسقف والجدران.', '  اتباع سياسات وإجراءات الصحة والسلامة والبيئة.', '  ', '  ']",مؤسسة فاد الخليجيه للمقاولات,1-115019,خاص,كبيرة,أنشطة خدمات صيانة المباني,nan,الرياض,MALHAM...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026406818,0 Years,M
مهندس معماري,29/06/1444,['تصميم المباني الجديدة أو الملحقات أو التعديلات على المباني القائمة، وتقديم المشورة بشأن ترميم الممتلكات القديمة والمحافظة عليها، والمساعدة في اختيار الموقع ومباشرة أعمال الإنشاءات.'],"['   وضع التصاميم لمشاريع الإنشاءات وإدارة فريق التصميم في اختيار المواد وتطوير المواصفات.', '  إعداد نماذج بالحجم الطبيعي والرسومات والنماذج الرقمية.', '  المساعدة في اختيار المقاولين واختيار المواد.', '  تقديم الدعم لمشروعات الإنشاء، ومباشرة تنفيذ التصميم من قِبل المقاول.', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة', '  ']",مكتب عبدالمحسن سالم سرحان للاستشارات الهندسية,9-2014834,خاص,صغيرة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,"['Skill data', 'برنامج الاوتوكاد والرفت والفتوشوب', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7000.0']",دوام كامل,0 / 1,20202026406812,0 Years,M
سباك,29/06/1444,['تحديد المواد اللازمة ومواصفاتها وتقدير الكميات والتكلفة تخطيط مسار شبكات المياه والصرف الصحي المنزلي بحسب المخططات وقص وتشكيل وتركيب وتوصيل أنابيب شبكات المياه والصرف الصحي المنزلية وتركيب القطع الصحية وسخانات المياه والخزانات والمضخات وصيانة شبكات المياه والصرف الصحي المنزلية.'],"['   تحديد المواد اللازمة ومواصفاتها وتقدير كمياتها من المخططات التنفيذية وتقدير التكلفة وتجهيز معدات وأدوات العمل.', '  تخطيط مسار شبكات المياه والصرف الصحي ومتابعة حفر المسار في الجدران.', '  قص وتشكيل وتركيب وتوصيل شبكات المياه المعدنية والبلاستيكية وشبكات الصرف الصحي المنزلية بحسب المخططات.', '  تركيب القطع الصحية، مثل: المغاسل واطقم الحمامات والمجالي وملحقاتها من البطاريات وتوصيلها بمصدر المياه وتركيب سخانات المياه والخزانات والمضخات وتوصيلها.', '  فحص ضغط الشبكة والتسريب وصيانة شبكات المياه والقطع الصحية وشبكات الصرف الصحي المنزلية.', '  ']",مؤسسة فاد الخليجيه للمقاولات,1-115019,خاص,كبيرة,أنشطة خدمات صيانة المباني,nan,الرياض,MALHAM...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026406810,0 Years,both
نجار هياكل خشبية,29/06/1444,['تشكيل وتدعيم الهياكل الخشبية لصب القواعد والاعمدة والجدران الخرسانية، وتشكيل جمالونات تركيب أشكال القرميد.'],"['   تحديد مقاسات واشكال الهياكل الخشبية اللازمة لصب القواعد والأعمدة والجدران الخرسانية من المخططات والرسوم التنفيذية.', '  تشكيل الهياكل الخشبية لصب القواعد والأعمدة والجدران الخرسانية وتدعيمها.', '  تشكيل الهياكل الخشبية لصب السقوف الخرسانية وتدعيمها.', '  تشكيل الهياكل الخشبية لجمالونات القرميد.', '  ', '  ']",مؤسسة فاد الخليجيه للمقاولات,1-115019,خاص,كبيرة,أنشطة خدمات صيانة المباني,nan,الرياض,MALHAM...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026406807,0 Years,M
محامي,29/06/1444,['دراسة القضية وتجهيز ملفها وجمع البينات الخطية والشخصية والأدلة، وتسجيل الدعوى لدى المحكمة المختصة ومتابعتها والمرافعة فيها لدى مختلف درجات المحاكم لحين إصدار الحكم، وتمثيل الموكلين لدى الغير، وتنظيم العقود والاتفاقيات والمستندات القانونية وتوثيقها وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال المحاماة وعرضها وحفظها.'],"['   استقبال القضية وتحديد نوعها وتحليل عناصرها وماهيتها وبيان الراي القانوني من القضية المعروضة وتحديد البيانات الشخصية والخطية والأدلة ذات الصلة وتحضير البينات الخطية (الوثائق والمستندات) والشخصية (شهود الدفاع والإثبات) وأدلة الإثبات وكتابة لائحة الدعوى وتحضير حافظات المستندات فيها.', '  مراجعة المحكمة المختصة لتقديم لائحة الدعوى وحافظة مستنداتها ومتابعة تبليغ المدعى عليه وحضور الجلسات المحددة من قبل المحكمة ومناقشة الشهود وتقديم المرافعة ومتابعتها حتى صدور الحكم', '  تمثيل الموكلين مدعوون أو مدعى عليهم لدى مختلف درجات المحاكم ولدى جميع اللجان والمجالس الرسمية والمحكمين وتقديم المدافعة والمرافعة والإنذارات العدلية والعادية والاعتراضات والمطالبات للموكلين.', '  المفاوضة بشأن العقود والاتفاقيات مع جميع الجهات الرسمية وغير الرسمية وصياغة العقود والاتفاقيات وتوثيقها لدى الجهات ذات العلاقة.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالمحاماة وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",مكتب ناصرمنصور ابراهيم الكنعاني للمحاماه,1-344661,خاص,صغيرة فئة ب,أنشطة المحاماة والاستشارات القانونية,nan,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026406785,0 Years,M
أخصائي تسويق,29/06/1444,['تحديد الأهداف وتطوير السياسات التسويقية للسلع والخدمات، والإشراف على تنفيذها وتقييمها، وإجراء اختبارات السوق وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال التسويق وعرضها وحفظها.'],"['   تحديد الأهداف العامة والفرعية للتسويق وتطوير السياسات والخطط والبرامج والتسهيلات التسويقية، وتحليل دورة حياة المنتج وتحديد أسباب نجاح أو فشل تسويق المنتجات، وتحليل أسعار المنافسين، وتطوير سياسات الأسعار.', '  تحديد برامج الترويج، واختيار قنوات التوزيع وتقييم فاعلية الدعاية والإعلان.', '  وضع برنامج زمني لتنفيذ السياسات التسويقية، ومتابعة إجراءات تنفيذها وتقييم النتائج.', '  إجراء اختبارات للمنتجات الجديدة قبل طرحها في الأسواق بشكلها النهائي واستخدام برامج حاسوبية خاصة في مجال اختبارات السوق وبحسب متطلبات العمل.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالتسويق وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة دار ماضي العالمية,1-222217,خاص,متوسطة فئة أ,الصالونات النسائية,"['Skill data', 'سرعه في الانجاز', 'محترف', 'Language data', 'انجليزي', 'محترف']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026406777,2 Years,F
